teamIdHome,teamIdAway,home_team_position,away_team_position,matchweek,homeGF,homeGA,awayGF,awayGA,homeLast1,homeLast2,homeLast3,homeLast4,homeLast5,awayLast1,awayLast2,awayLast3,awayLast4,awayLast5,o35
4,2,8,1,29,44,32,39,41,0,0.5,0.5,1,1,0.5,1,0,1,1,0
3,18,2,5,29,54,35,37,42,1,1,1,0,1,0,1,1,1,1,0
5,19,7,6,29,19,31,28,30,0.5,1,0.5,1,0.5,1,1,0,1,1,1
17,1,16,3,29,42,49,52,35,0.5,1,0.5,0,0,1,0.5,1,0.5,1,0
14,16,4,15,29,35,43,29,43,0,0,1,1,1,0,0.5,0,0,1,1
9,7,19,11,29,46,32,38,37,0.5,0,0,0.5,0,1,0,1,0,0,0
13,8,12,17,29,22,34,35,32,0,1,0,0.5,1,0.5,0.5,0,0,0,1
15,11,14,13,29,34,29,31,45,0.5,1,0.5,0.5,0,0,0,0.5,0,1,1
12,20,9,10,29,30,32,50,39,0.5,0,0,1,0,1,0,0,1,0,1
1,5,3,7,30,53,36,21,34,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0
10,17,20,16,30,32,37,43,50,0,0.5,0,0,0,0.5,1,0.5,0,0,1
3,6,2,18,30,55,36,37,36,1,1,1,0,1,0,1,0.5,0,0.5,0
2,9,1,19,30,39,41,47,34,0.5,1,0,1,1,0.5,0,0,0.5,0,0
11,12,13,9,30,35,46,32,34,0,0,0.5,0,1,0.5,0,0,1,0,0
16,15,15,14,30,30,46,35,33,0,0.5,0,0,1,0.5,1,0.5,0.5,0,0
8,7,17,11,30,38,35,40,38,0.5,0.5,0,0,0,1,0,1,0,0,1
20,4,10,8,30,52,41,44,32,1,0,0,1,0,0,0.5,0.5,1,1,1
19,13,6,12,30,31,32,25,37,1,1,0,1,1,0,1,0,0.5,1,1
18,14,5,4,30,38,43,38,44,0,1,1,1,1,0,0,1,1,1,0
17,3,16,2,31,45,52,56,37,0.5,1,0.5,0,0,1,1,1,0,1,0
5,10,7,20,31,22,35,34,39,0.5,1,0.5,1,0.5,0,0.5,0,0,0,0
12,16,9,15,31,32,36,31,48,0.5,0,0,1,0,0,0.5,0,0,1,1
13,1,12,3,31,26,40,54,37,0,1,0,0.5,1,1,0.5,1,0.5,1,1
8,2,17,1,31,39,38,41,41,0.5,0.5,0,0,0,0.5,1,0,1,1,1
9,20,19,10,31,47,36,55,42,0.5,0,0,0.5,0,1,0,0,1,0,1
